"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"20","LQ_5.5","LQ",5.5,0.772968591691996,0.753890577507599,0.0150343311068203,0.0416548463356974,0.0110405575760811,0.02,0.0016,0.11,0.0292,2223.10716815218,2.29163730231721,0.0334995135721392,5
"21","L_6","L",6,0.76918946301925,0.754002026342452,0.0147796737527062,0.0416480918608578,0.0109632851520972,0.02,0.0016,0.11,0.0292,2223.57691829281,2.76138744295213,0.0264870477186497,4
"22","LQ_6","LQ",6,0.771722391084093,0.753718338399189,0.0148764848809601,0.0410097939885174,0.0109299826142418,0.02,0.0016,0.11,0.0292,2223.83943458189,3.02390373202934,0.0232289118591714,5
"23","L_6.5","L",6.5,0.76903748733536,0.753839918946302,0.0148532429178099,0.0414522120905099,0.0109144521467357,0.02,0.0016,0.11,0.0292,2223.57306354317,2.75753269330789,0.0265381474158511,4
"24","LQ_6.5","LQ",6.5,0.770628166160081,0.753161094224924,0.0147662035026777,0.0406214116852415,0.0107703198657865,0.02,0.0016,0.11,0.0292,2224.66487050234,3.8493396524741,0.015374030325023,5
"25","L_7","L",7,0.768814589665654,0.753860182370821,0.0147142210437819,0.0408375548801081,0.0108004427705391,0.02,0.0016,0.11,0.0292,2223.57413055825,2.75859970839247,0.0265239928901553,4
"26","LQ_7","LQ",7,0.768986828774063,0.752958459979737,0.0144859326256533,0.0399594731509625,0.010482268271727,0.02,0.0016,0.12,0.0362666666666667,2225.58499049833,4.76945964846618,0.0097047916241973,5
"27","L_7.5","L",7.5,0.768459979736575,0.753535967578521,0.0147419542194424,0.0406416751097602,0.0107803097819783,0.02,0.0016,0.11,0.0292,2223.58010947661,2.76457862674351,0.0264448188989095,4
"28","LQ_7.5","LQ",7.5,0.768459979736575,0.75258358662614,0.0144328698613896,0.0393650793650794,0.0103059210465535,0.02,0.0016,0.12,0.0362666666666667,2223.58010947661,2.76457862674397,0.0264448188989035,4
"29","L_8","L",8,0.768308004052685,0.753110435663627,0.0145471802120577,0.0401317122593718,0.0105273981208599,0.02,0.0016,0.11,0.0292,2223.59099079736,2.77545994750153,0.0263013323053512,4
"30","LQ_8","LQ",8,0.768308004052685,0.751925025329281,0.0143420389070069,0.0390509962850388,0.0101341521850931,0.02,0.0016,0.13,0.0356,2223.59099079736,2.77545994750153,0.0263013323053512,4
"31","L_8.5","L",8.5,0.768156028368794,0.752826747720365,0.0144205787702134,0.0396994258696386,0.010356640617114,0.02,0.0016,0.12,0.0362666666666667,2223.60676537682,2.79123452696194,0.0260947020248067,4
"32","LQ_8.5","LQ",8.5,0.768156028368794,0.751165146909828,0.0141622564462634,0.0387571766295171,0.00997832696380197,0.02,0.0016,0.14,0.0325333333333333,2223.60676537682,2.79123452696194,0.0260947020248067,4
"33","L_9","L",9,0.767943262411347,0.752370820668693,0.0143765544787403,0.0391860857818305,0.0102376381305502,0.02,0.0016,0.12,0.0362666666666667,2223.62742442509,2.81189357523044,0.0258265435296401,4
"34","LQ_9","LQ",9,0.767943262411347,0.750587639311044,0.0140840688833252,0.0383991894630193,0.00974716912568559,0.02,0.0016,0.14,0.0325333333333333,2223.62742442509,2.81189357523044,0.0258265435296401,4
"35","L_9.5","L",9.5,0.767365754812563,0.751793313069909,0.014274646390924,0.0389766970618034,0.010101966667659,0.02,0.0016,0.14,0.0325333333333333,2223.65295950284,2.83742865297518,0.0254988981942426,4
"36","LQ_9.5","LQ",9.5,0.767365754812563,0.750010131712259,0.0139524025092155,0.0380175616345829,0.00951937726753091,0.02,0.0016,0.14,0.0325333333333333,2223.65295950284,2.83742865297518,0.0254988981942426,4
"37","L_10","L",10,0.767082066869301,0.751165146909828,0.0141619411005688,0.0387132725430598,0.00995222427183236,0.02,0.0016,0.14,0.0325333333333333,2223.68336251814,2.86783166827718,0.0251142078429226,4
"38","LQ_10","LQ",10,0.767082066869301,0.749219858156028,0.0137242215673051,0.0375751435325903,0.00926417777613535,0.02,0.0016,0.14,0.0325333333333333,2223.68336251814,2.86783166827718,0.0251142078429226,4
